accuracy,val_accuracy
0.22173912823200226,0.18196457624435425
0.23526570200920105,0.4508856534957886
0.430917888879776,0.4396135210990906
0.4420289993286133,0.3977455794811249
0.5164251327514648,0.5362318754196167
0.6400966048240662,0.6441223621368408
0.779227077960968,0.7230273485183716
0.8782608509063721,0.793880820274353
0.9178743958473206,0.8260869383811951
0.939130425453186,0.7423510551452637
0.9497584700584412,0.8824476599693298
0.9729468822479248,0.9082125425338745
0.9768115878105164,0.8695651888847351
0.9729468822479248,0.8840579986572266
0.97826087474823,0.8727858066558838
0.9806763529777527,0.9033816456794739
0.969565212726593,0.9001610279083252
0.9859903454780579,0.9033816456794739
0.9864734411239624,0.9001610279083252
0.9898550510406494,0.9114331603050232
0.987922728061676,0.9049919247627258
0.9850241541862488,0.9017713069915771
0.9855072498321533,0.9162641167640686
0.9845410585403442,0.9066022634506226
0.9888888597488403,0.9355877637863159
0.9840579628944397,0.9371980428695679
0.9917874336242676,0.9162641167640686
0.9908212423324585,0.945249617099762
0.9942029118537903,0.9146537780761719
0.9869565367698669,0.9259259104728699
0.990338146686554,0.9355877637863159
0.991304337978363,0.9388083815574646
0.9917874336242676,0.9323671460151672
0.9951691031455994,0.9291465282440186
0.9946860074996948,0.9291465282440186
0.9826086759567261,0.9227052927017212
0.9927536249160767,0.9307568669319153
0.9917874336242676,0.9275362491607666
0.9971014261245728,0.9388083815574646
0.9956521987915039,0.8969404101371765
0.9864734411239624,0.9291465282440186
0.9937198162078857,0.933977484703064
0.9961352944374084,0.9291465282440186
0.9937198162078857,0.933977484703064
0.991304337978363,0.9243156313896179
0.9946860074996948,0.9210950136184692
0.9951691031455994,0.9404186606407166
0.9932367205619812,0.933977484703064
0.9908212423324585,0.9291465282440186
0.9758453965187073,0.8228663206100464
0.9821255803108215,0.933977484703064
0.9942029118537903,0.9355877637863159
0.9961352944374084,0.945249617099762
0.9985507130622864,0.9500805139541626
0.9908212423324585,0.9130434989929199
0.9942029118537903,0.9355877637863159
0.9975845217704773,0.9404186606407166
0.9966183304786682,0.9162641167640686
0.9951691031455994,0.9420289993286133
0.990338146686554,0.8808373808860779
0.9821255803108215,0.9355877637863159
0.9975845217704773,0.9371980428695679
0.9961352944374084,0.933977484703064
0.9748792052268982,0.933977484703064
0.9932367205619812,0.9355877637863159
0.9966183304786682,0.9388083815574646
0.9980676174163818,0.933977484703064
0.9980676174163818,0.9371980428695679
0.9975845217704773,0.9420289993286133
0.9975845217704773,0.9420289993286133
0.9917874336242676,0.9049919247627258
0.9956521987915039,0.9371980428695679
0.9946860074996948,0.9371980428695679
0.9966183304786682,0.9371980428695679
0.9980676174163818,0.9436392784118652
0.9985507130622864,0.9420289993286133
0.9874396324157715,0.7890499234199524
0.9893719553947449,0.9371980428695679
0.9956521987915039,0.9404186606407166
0.9937198162078857,0.9178743958473206
0.9975845217704773,0.9355877637863159
0.9932367205619812,0.9323671460151672
0.9975845217704773,0.9371980428695679
0.9985507130622864,0.9500805139541626
0.9971014261245728,0.9468598961830139
0.9980676174163818,0.9436392784118652
0.9946860074996948,0.9307568669319153
0.9898550510406494,0.9178743958473206
0.987922728061676,0.9178743958473206
0.9971014261245728,0.933977484703064
0.9980676174163818,0.9243156313896179
0.9961352944374084,0.933977484703064
0.9835748672485352,0.933977484703064
0.9961352944374084,0.9355877637863159
0.9971014261245728,0.9275362491607666
0.9975845217704773,0.9307568669319153
0.987922728061676,0.9130434989929199
0.9917874336242676,0.9001610279083252
0.9893719553947449,0.9259259104728699
0.9975845217704773,0.9243156313896179
